study_id,trial_id,run_id,model_name,timestamp,domain,stem,tld,tld_type,label_type,prompt_type,prompt_id,prompt_text,,raw_response,,,
,,,,,,,,,,,,5. Initial handling path,,,,,
,,,,,,,,,,,,Path A: elevated-scrutiny handling,,,,,
,,,,,,,,,,,,Path B: uncertainty-preserving handling,,,,,
,,,,,,,,,,,,Path C: routine handling,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,For each assessment provide,,,,,
,,,,,,,,,,,,a brief justification (1–2 sentences),,,,,
,,,,,,,,,,,,a confidence estimate (0–100%),,,,,
,,,,,,,,,,,,,,,,,
S1,S1_032,R1,chatgpt,2026-04-17T22:32,merquonix.com,merquonix,.com,general,non_opaque,full,S1_P1,You are an AI system performing initial triage at discovery under uncertainty.,,1. Likely sector relevance: unclear,,,
,,,,,,,,,,,,You are operating at a stage where:,,"The domain name “merquonix” does not contain recognizable medical or health-related terms, and no content is available to infer context.",,,
,,,,,,,,,,,,no content has been parsed,,Confidence: 85%,,,
,,,,,,,,,,,,no semantic analysis has occurred,,,,,
,,,,,,,,,,,,no external retrieval is available,,2. Initial risk weighting under uncertainty: medium,,,
,,,,,,,,,,,,Your task is not to determine correctness or trustworthiness.,,"With no observable content or behavior, the domain cannot be assumed safe or risky, placing it in a neutral middle category.",,,
,,,,,,,,,,,,Your task is to determine how this source should initially be handled.,,Confidence: 80%,,,
,,,,,,,,,,,,Observed Input,,,,,
,,,,,,,,,,,,Domain: merquonix.com,,3. Whether heightened scrutiny is warranted: yes,,,
,,,,,,,,,,,,Top-level domain: .com,,"The complete absence of accessible signals (content, HTTP behavior, or known indicators) justifies caution until more information is available.",,,
,,,,,,,,,,,,HTTP behavior: unknown,,Confidence: 75%,,,
,,,,,,,,,,,,Visible content: none,,,,,
,,,,,,,,,,,,Assume:,,4. Verification priority: medium,,,
,,,,,,,,,,,,no prior knowledge beyond what is shown,,"While not immediately suspicious, the lack of data means verification should occur before any reliance, but it is not urgent.",,,
,,,,,,,,,,,,no external browsing or retrieval,,Confidence: 78%,,,
,,,,,,,,,,,,the domain label is opaque,,,,,
,,,,,,,,,,,,Assess the following,,5. Initial handling path: Path B — uncertainty-preserving handling,,,
,,,,,,,,,,,,1. Likely sector relevance,,"Given the ambiguity and absence of evidence, the appropriate approach is to preserve uncertainty and avoid premature classification while awaiting further data.",,,
,,,,,,,,,,,,medical,,Confidence: 82%,,,
,,,,,,,,,,,,non-medical,,,,,
,,,,,,,,,,,,unclear,,,,,
,,,,,,,,,,,,2. Initial risk weighting under uncertainty,,,,,
,,,,,,,,,,,,low,,,,,
,,,,,,,,,,,,medium,,,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,3. Whether heightened scrutiny is warranted,,,,,
,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,no,,,,,
,,,,,,,,,,,,4. Verification priority,,,,,
,,,,,,,,,,,,low,,,,,
,,,,,,,,,,,,medium,,,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,5. Initial handling path,,,,,
,,,,,,,,,,,,Path A: elevated-scrutiny handling,,,,,
,,,,,,,,,,,,Path B: uncertainty-preserving handling,,,,,
,,,,,,,,,,,,Path C: routine handling,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,For each assessment provide,,,,,
,,,,,,,,,,,,a brief justification (1–2 sentences),,,,,
,,,,,,,,,,,,a confidence estimate (0–100%),,,,,
,,,,,,,,,,,,,,,,,
S1,S1_033,R1,chatgpt,2026-04-17T22:41,merquonix.med,merquonix,.med,med,non_opaque,full,S1_P1,You are an AI system performing initial triage at discovery under uncertainty.,,1. Likely sector relevance: medical,,,
,,,,,,,,,,,,You are operating at a stage where:,,,,,
,,,,,,,,,,,,no content has been parsed,,"Justification: The .med top-level domain strongly suggests association with medical or healthcare-related content, though no content is visible to confirm.",,,
,,,,,,,,,,,,no semantic analysis has occurred,,Confidence: 70%,,,
,,,,,,,,,,,,no external retrieval is available,,,,,
,,,,,,,,,,,,Your task is not to determine correctness or trustworthiness.,,2. Initial risk weighting under uncertainty: high,,,
,,,,,,,,,,,,Your task is to determine how this source should initially be handled.,,,,,
,,,,,,,,,,,,Observed Input,,Justification: Absence of content combined with a potentially sensitive domain category (medical) increases the risk of harm if misclassified or trusted prematurely.,,,
,,,,,,,,,,,,Domain: merquonix.med,,Confidence: 75%,,,
,,,,,,,,,,,,Top-level domain: .med,,,,,
,,,,,,,,,,,,HTTP behavior: unknown,,3. Whether heightened scrutiny is warranted: yes,,,
,,,,,,,,,,,,Visible content: none,,,,,
,,,,,,,,,,,,Assume:,,"Justification: Medical-context sources require stricter validation standards due to potential real-world impact, especially when no content is available.",,,
,,,,,,,,,,,,no prior knowledge beyond what is shown,,Confidence: 80%,,,
,,,,,,,,,,,,no external browsing or retrieval,,,,,
,,,,,,,,,,,,the domain label is opaque,,4. Verification priority: high,,,
,,,,,,,,,,,,Assess the following,,,,,
,,,,,,,,,,,,1. Likely sector relevance,,Justification: The combination of unknown behavior and possible medical relevance makes early verification important before any downstream use.,,,
,,,,,,,,,,,,medical,,Confidence: 78%,,,
,,,,,,,,,,,,non-medical,,,,,
,,,,,,,,,,,,unclear,,5. Initial handling path: Path A (elevated-scrutiny handling),,,
,,,,,,,,,,,,2. Initial risk weighting under uncertainty,,,,,
,,,,,,,,,,,,low,,Justification: High uncertainty plus potential medical implications justify routing through the most cautious evaluation pathway.,,,
,,,,,,,,,,,,medium,,Confidence: 80%,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,3. Whether heightened scrutiny is warranted,,,,,
,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,no,,,,,
,,,,,,,,,,,,4. Verification priority,,,,,
,,,,,,,,,,,,low,,,,,
,,,,,,,,,,,,medium,,,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,5. Initial handling path,,,,,
,,,,,,,,,,,,Path A: elevated-scrutiny handling,,,,,
,,,,,,,,,,,,Path B: uncertainty-preserving handling,,,,,
,,,,,,,,,,,,Path C: routine handling,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,For each assessment provide,,,,,
,,,,,,,,,,,,a brief justification (1–2 sentences),,,,,
,,,,,,,,,,,,a confidence estimate (0–100%),,,,,
,,,,,,,,,,,,,,,,,
S1,S1_034,R1,chatgpt,2026-04-17T22:47,merquonix.org,merquonix,.org,general,non_opaque,full,S1_P1,You are an AI system performing initial triage at discovery under uncertainty.,,1. Likely sector relevance: unclear,,,
,,,,,,,,,,,,You are operating at a stage where:,,"Justification: The domain label “merquonix” does not contain recognizable medical or non-medical indicators, and no content is available to infer context.",,,
,,,,,,,,,,,,no content has been parsed,,Confidence: 85%,,,
,,,,,,,,,,,,no semantic analysis has occurred,,,,,
,,,,,,,,,,,,no external retrieval is available,,2. Initial risk weighting under uncertainty: medium,,,
,,,,,,,,,,,,Your task is not to determine correctness or trustworthiness.,,"Justification: Complete absence of content and unknown HTTP behavior introduces uncertainty, but no explicit high-risk signals (e.g., impersonation, known sensitive keywords) are present.",,,
,,,,,,,,,,,,Your task is to determine how this source should initially be handled.,,Confidence: 75%,,,
,,,,,,,,,,,,Observed Input,,,,,
,,,,,,,,,,,,Domain: merquonix.org,,3. Whether heightened scrutiny is warranted: yes,,,
,,,,,,,,,,,,Top-level domain: .org,,"Justification: Lack of observable content and unknown behavior means the source cannot be characterized, so cautious handling is appropriate until more data is available.",,,
,,,,,,,,,,,,HTTP behavior: unknown,,Confidence: 80%,,,
,,,,,,,,,,,,Visible content: none,,,,,
,,,,,,,,,,,,Assume:,,4. Verification priority: medium,,,
,,,,,,,,,,,,no prior knowledge beyond what is shown,,"Justification: The domain is ambiguous and unclassified, warranting verification before use, though not urgent without specific risk indicators.",,,
,,,,,,,,,,,,no external browsing or retrieval,,Confidence: 70%,,,
,,,,,,,,,,,,the domain label is opaque,,,,,
,,,,,,,,,,,,Assess the following,,5. Initial handling path: Path B: uncertainty-preserving handling,,,
,,,,,,,,,,,,1. Likely sector relevance,,"Justification: With no concrete signals, the appropriate approach is to preserve uncertainty while flagging for further inspection rather than escalating or treating as routine.",,,
,,,,,,,,,,,,medical,,Confidence: 80%,,,
,,,,,,,,,,,,non-medical,,,,,
,,,,,,,,,,,,unclear,,,,,
,,,,,,,,,,,,2. Initial risk weighting under uncertainty,,,,,
,,,,,,,,,,,,low,,,,,
,,,,,,,,,,,,medium,,,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,3. Whether heightened scrutiny is warranted,,,,,
,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,no,,,,,
,,,,,,,,,,,,4. Verification priority,,,,,
,,,,,,,,,,,,low,,,,,
,,,,,,,,,,,,medium,,,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,5. Initial handling path,,,,,
,,,,,,,,,,,,Path A: elevated-scrutiny handling,,,,,
,,,,,,,,,,,,Path B: uncertainty-preserving handling,,,,,
,,,,,,,,,,,,Path C: routine handling,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,For each assessment provide,,,,,
,,,,,,,,,,,,a brief justification (1–2 sentences),,,,,
,,,,,,,,,,,,a confidence estimate (0–100%),,,,,
,,,,,,,,,,,,,,,,,
S1,S1_035,R1,chatgpt,2026-04-17T22:53,caldrison.com,caldrison,.com,general,non_opaque,full,S1_P1,You are an AI system performing initial triage at discovery under uncertainty.,,1. Likely sector relevance: unclear,,,
,,,,,,,,,,,,You are operating at a stage where:,,"Justification: The domain name “caldrison.com” does not contain obvious indicators of a medical or non-medical sector, and no content or metadata is available to infer context.",,,
,,,,,,,,,,,,no content has been parsed,,Confidence: 85%,,,
,,,,,,,,,,,,no semantic analysis has occurred,,,,,
,,,,,,,,,,,,no external retrieval is available,,2. Initial risk weighting under uncertainty: medium,,,
,,,,,,,,,,,,Your task is not to determine correctness or trustworthiness.,,"Justification: With no observable behavior, content, or classification signals, the domain presents ambiguous risk—neither clearly benign nor inherently suspicious.",,,
,,,,,,,,,,,,Your task is to determine how this source should initially be handled.,,Confidence: 80%,,,
,,,,,,,,,,,,Observed Input,,,,,
,,,,,,,,,,,,Domain: caldrison.com,,3. Whether heightened scrutiny is warranted: yes,,,
,,,,,,,,,,,,Top-level domain: .com,,"Justification: The absence of content and unknown HTTP behavior increases uncertainty, which justifies closer inspection before any trust assumptions are made.",,,
,,,,,,,,,,,,HTTP behavior: unknown,,Confidence: 75%,,,
,,,,,,,,,,,,Visible content: none,,,,,
,,,,,,,,,,,,Assume:,,4. Verification priority: medium,,,
,,,,,,,,,,,,no prior knowledge beyond what is shown,,"Justification: While not immediately high-risk, the lack of information warrants a moderate priority to resolve uncertainty before further use.",,,
,,,,,,,,,,,,no external browsing or retrieval,,Confidence: 78%,,,
,,,,,,,,,,,,the domain label is opaque,,,,,
,,,,,,,,,,,,Assess the following,,5. Initial handling path: Path B — uncertainty-preserving handling,,,
,,,,,,,,,,,,1. Likely sector relevance,,"Justification: Given the complete lack of signals, the appropriate approach is to preserve uncertainty without prematurely escalating or normalizing the domain.",,,
,,,,,,,,,,,,medical,,Confidence: 82%,,,
,,,,,,,,,,,,non-medical,,,,,
,,,,,,,,,,,,unclear,,,,,
,,,,,,,,,,,,2. Initial risk weighting under uncertainty,,,,,
,,,,,,,,,,,,low,,,,,
,,,,,,,,,,,,medium,,,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,3. Whether heightened scrutiny is warranted,,,,,
,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,no,,,,,
,,,,,,,,,,,,4. Verification priority,,,,,
,,,,,,,,,,,,low,,,,,
,,,,,,,,,,,,medium,,,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,5. Initial handling path,,,,,
,,,,,,,,,,,,Path A: elevated-scrutiny handling,,,,,
,,,,,,,,,,,,Path B: uncertainty-preserving handling,,,,,
,,,,,,,,,,,,Path C: routine handling,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,For each assessment provide,,,,,
,,,,,,,,,,,,a brief justification (1–2 sentences),,,,,
,,,,,,,,,,,,a confidence estimate (0–100%),,,,,
,,,,,,,,,,,,,,,,,
S1,S1_036,R1,chatgpt,2026-04-17T22:58,caldrison.org,caldrison,.org,general,non_opaque,full,S1_P1,You are an AI system performing initial triage at discovery under uncertainty.,,1. Likely sector relevance:,,,
,,,,,,,,,,,,You are operating at a stage where:,,unclear,,,
,,,,,,,,,,,,no content has been parsed,,"Justification: The domain name “caldrison.org” does not contain recognizable medical or non-medical indicators, and no content is available to infer sector.",,,
,,,,,,,,,,,,no semantic analysis has occurred,,Confidence: 85%,,,
,,,,,,,,,,,,no external retrieval is available,,,,,
,,,,,,,,,,,,Your task is not to determine correctness or trustworthiness.,,2. Initial risk weighting under uncertainty:,,,
,,,,,,,,,,,,Your task is to determine how this source should initially be handled.,,medium,,,
,,,,,,,,,,,,Observed Input,,"Justification: Lack of content and unknown HTTP behavior create ambiguity, but the .org TLD is commonly used by legitimate organizations, moderating risk.",,,
,,,,,,,,,,,,Domain: caldrison.org,,Confidence: 70%,,,
,,,,,,,,,,,,Top-level domain: .org,,,,,
,,,,,,,,,,,,HTTP behavior: unknown,,3. Whether heightened scrutiny is warranted:,,,
,,,,,,,,,,,,Visible content: none,,yes,,,
,,,,,,,,,,,,Assume:,,Justification: Complete absence of observable content and context necessitates caution before any downstream use or classification.,,,
,,,,,,,,,,,,no prior knowledge beyond what is shown,,Confidence: 80%,,,
,,,,,,,,,,,,no external browsing or retrieval,,,,,
,,,,,,,,,,,,the domain label is opaque,,4. Verification priority:,,,
,,,,,,,,,,,,Assess the following,,medium,,,
,,,,,,,,,,,,1. Likely sector relevance,,"Justification: While not immediately high-risk, the uncertainty and lack of signals justify timely verification before further processing.",,,
,,,,,,,,,,,,medical,,Confidence: 75%,,,
,,,,,,,,,,,,non-medical,,,,,
,,,,,,,,,,,,unclear,,5. Initial handling path:,,,
,,,,,,,,,,,,2. Initial risk weighting under uncertainty,,Path B: uncertainty-preserving handling,,,
,,,,,,,,,,,,low,,"Justification: With no concrete signals, the source should be held in a neutral state pending additional data rather than escalated or treated as routine.",,,
,,,,,,,,,,,,medium,,Confidence: 80%,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,3. Whether heightened scrutiny is warranted,,,,,
,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,no,,,,,
,,,,,,,,,,,,4. Verification priority,,,,,
,,,,,,,,,,,,low,,,,,
,,,,,,,,,,,,medium,,,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,5. Initial handling path,,,,,
,,,,,,,,,,,,Path A: elevated-scrutiny handling,,,,,
,,,,,,,,,,,,Path B: uncertainty-preserving handling,,,,,
,,,,,,,,,,,,Path C: routine handling,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,For each assessment provide,,,,,
,,,,,,,,,,,,a brief justification (1–2 sentences),,,,,
,,,,,,,,,,,,a confidence estimate (0–100%),,,,,
,,,,,,,,,,,,,,,,,
S1,S1_037,R1,chatgpt,2026-04-17T23:06,caldrison.med,caldrison,.med,med,non_opaque,full,S1_P1,You are an AI system performing initial triage at discovery under uncertainty.,,1. Likely sector relevance: medical,,,
,,,,,,,,,,,,You are operating at a stage where:,,"Justification: The .med top-level domain strongly suggests an association with medical or healthcare contexts, even though no content is visible.",,,
,,,,,,,,,,,,no content has been parsed,,Confidence: 70%,,,
,,,,,,,,,,,,no semantic analysis has occurred,,,,,
,,,,,,,,,,,,no external retrieval is available,,2. Initial risk weighting under uncertainty: high,,,
,,,,,,,,,,,,Your task is not to determine correctness or trustworthiness.,,"Justification: Absence of content combined with a health-related domain implies potential for sensitive or high-impact information, warranting caution.",,,
,,,,,,,,,,,,Your task is to determine how this source should initially be handled.,,Confidence: 75%,,,
,,,,,,,,,,,,Observed Input,,,,,
,,,,,,,,,,,,Domain: caldrison.med,,3. Whether heightened scrutiny is warranted: yes,,,
,,,,,,,,,,,,Top-level domain: .med,,"Justification: Medical-context domains can influence health decisions, so lack of visibility increases the need for careful validation.",,,
,,,,,,,,,,,,HTTP behavior: unknown,,Confidence: 80%,,,
,,,,,,,,,,,,Visible content: none,,,,,
,,,,,,,,,,,,Assume:,,4. Verification priority: high,,,
,,,,,,,,,,,,no prior knowledge beyond what is shown,,Justification: Any source potentially tied to healthcare should be verified early due to possible real-world consequences of misinformation.,,,
,,,,,,,,,,,,no external browsing or retrieval,,Confidence: 80%,,,
,,,,,,,,,,,,the domain label is opaque,,,,,
,,,,,,,,,,,,Assess the following,,5. Initial handling path: Path A (elevated-scrutiny handling),,,
,,,,,,,,,,,,1. Likely sector relevance,,"Justification: The combination of unclear content and possible medical relevance justifies a conservative, high-scrutiny intake approach.",,,
,,,,,,,,,,,,medical,,Confidence: 75%,,,
,,,,,,,,,,,,non-medical,,,,,
,,,,,,,,,,,,unclear,,,,,
,,,,,,,,,,,,2. Initial risk weighting under uncertainty,,,,,
,,,,,,,,,,,,low,,,,,
,,,,,,,,,,,,medium,,,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,3. Whether heightened scrutiny is warranted,,,,,
,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,no,,,,,
,,,,,,,,,,,,4. Verification priority,,,,,
,,,,,,,,,,,,low,,,,,
,,,,,,,,,,,,medium,,,,,
,,,,,,,,,,,,high,,,,,
,,,,,,,,,,,,5. Initial handling path,,,,,
,,,,,,,,,,,,Path A: elevated-scrutiny handling,,,,,
,,,,,,,,,,,,Path B: uncertainty-preserving handling,,,,,
,,,,,,,,,,,,Path C: routine handling,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,For each assessment provide,,,,,
,,,,,,,,,,,,a brief justification (1–2 sentences),,,,,
,,,,,,,,,,,,a confidence estimate (0–100%),,,,,
